author,content,created_at,postLink,Sentiment_Score,Sentiment_Label
euwatch.live,Fencing at the Paris 2024 Olympics was transparent and triumphant,2024-09-04T16:03:39.785Z,https://bsky.app/profile/euwatch.live/post/3l3dpco7wfu2h,0.5267,Positive
maladroithe.bsky.social,You just have to tell them there are no electric kettles in the Olympic village,2024-08-13T00:27:03.938Z,https://bsky.app/profile/maladroithe.bsky.social/post/3kzkqpnlrnu2w,-0.296,Negative
globalvoters.bsky.social,"Close finishes, fencing tantrums & shocking moments - the 2024 Olympic Awards: Watch the funniest, shocking and best moments from the 2024 Paris Olympics.",2024-08-12T18:04:11.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kzk3czast22i,0.5994,Positive
llewcid.bsky.social,Would watch the fuck out of a show where they pitted these people against an Olympian,2024-08-12T13:57:30.994Z,https://bsky.app/profile/llewcid.bsky.social/post/3kzjnjwet5p2a,-0.5423,Negative
azzageddi.bsky.social,"I’ve been interested in modern pentathlon since learning my uni fencing teacher had been an Olympic coach for it. I’m not sad about the change—it seems like it should be an ever-evolving sport. 
https://www.npr.org/2024/08/10/g-s1-16085/pentathlon-military-tradition-break-last-ride-paris-olympics",2024-08-11T07:32:12.178Z,https://bsky.app/profile/azzageddi.bsky.social/post/3kzghjzb2c72p,0.7753,Positive
unicornriot.bsky.social,"NEW: A review of past Olympic Games reveals recurring patterns, including gentrification and the displacement of residents, the introduction of new surveillance technologies, over-policing, repression of dissent, authoritarian legislation, & financial scandals.

> unicornriot.ninja/2024/sport-w... <",2024-08-11T03:29:32.902Z,https://bsky.app/profile/unicornriot.bsky.social/post/3kzfzy3runq2g,-0.7003,Negative
ashleysays.bsky.social,Okay pentathlon is wild. They should be the MVPs of the Olympics,2024-08-08T12:05:20.707Z,https://bsky.app/profile/ashleysays.bsky.social/post/3kz7ffoad4y2e,0.2263,Positive
basbleu.bsky.social,"Ah hah! Still undefeated. Like Hong Kong in the fencing events of the 2024 Olympics: I dip in, get the gold twice, and am gone.

(That’s them going from underestimated to tied for first in fencing gold metals. ❤️🇭🇰)",2024-08-05T04:19:33.436Z,https://bsky.app/profile/basbleu.bsky.social/post/3kywzxz6yvx2r,0.1759,Positive
ukrnws.bsky.social,"📰 Ukraine won first gold medal at 2024 Olympics: women’s saber fencing team defeated South Korean team. VIDEO&PHOTOS

🔗 https://censor.net/en/news/3502998/olimpiada2024_pershe_zoloto_ukrayiny

#News #RussianInvasion #RussianWar #Ukraine",2024-08-04T07:11:31.540Z,https://bsky.app/profile/ukrnws.bsky.social/post/3kyut4m62f22w,0.5719,Positive
marykk.bsky.social,"Next site, since the 🇺🇦 women's fencing team just won the gold medal at the Paris Olympics, is the 2008 Beijing 🇺🇦 women's team that also won gold. 1, Olha Zhovnir. 2, Olga Kharlan. 3, Halyna Pundyk. 4, Olena Khomrova. Olga Kharlan is also a member of the 2024 Ukrainian team.....",2024-08-04T04:09:49.986Z,https://bsky.app/profile/marykk.bsky.social/post/3kyuixpmxma2e,0.8885,Positive
